node,score
906,1890
909,9216
91,176
913,7419
918,872
919,5776
92,35
924,5290
926,4725
927,5395
931,1933
933,2701
934,6158
95,192
96,126
965,6035
966,677
970,2405
974,6085
975,6625
980,84
989,13425
99,100
993,34
Como_DIV,18965
Edinger_DIV,17463
J1,12368
J10,38543
J100,34317
J101,6163
J102,41
J103,41
J104,24074
J105,23454
J106,34400
J107,41
J108,27748
J109,27783
J11,38398
J110,27523
J111,27663
J112,27718
J113,31972
J114,28003
J115,27538
J116,17616
J117,16902
J118,24952
J12,9074
J121,7784
J122,8634
J123,8634
J124,9339
J125,9659
J128,8629
J129,8489
J13,78
J130,8659
J131,27643
J132,8284
J133,8229
J135,138
J136,8319
J137,37715
J138,3385
J139,44
J14,33
J140,44
J141,8712
J143,32
J145,10
J146,35
J147,35
J148,24082
J149,14057
J15,98
J150,51
J151,24792
J152,23587
J153,10535
J154,24134
J155,24764
J156,23574
J157,7794
J158,7204
J159,7034
J16,51
J160,7814
J161,7279
J162,7459
J163,7479
J164,12401
J165,12406
J168,9067
J169,8897
J170,14837
J171,21222
J172,20965
J173,13293
J174,12803
J175,12743
J176,20242
J177,27032
J178,26072
J179,24647
J180,25162
J182,26127
J183,28302
J184,28987
J187,28812
J188,28417
J189,25734
J19,51
J190,0
J191,0
J192,13505
J193,59
J194,12913
J195,12498
J196,25122
J197,6802
J199,29629
J2,7899
J200,13181
J201,14418
J202,13293
J203,11057
J204,10497
J205,10725
J206,10700
J207,11037
J208,11122
J21,53
J212,33
J213,49
J219,27678
J22,47
J220,21477
J221,19484
J222,25307
J223,12965
J224,12710
J225,12320
J226,11930
J227,5575
J228,5445
J229,5370
J23,47
J230,5325
J231,6598
J232,6448
J233,6498
J234,0
J235,0
J236,10100
J237,16696
J238,38
J24,70
J240,38
J241,30
J242,35
J243,38
J244,27
J245,27
J246,27
J247,35
J248,30
J249,23959
J25,47
J250,14237
J251,14762
J252,14537
J254,18502
J255,20492
J256,38
J257,27
J258,91
J259,788
J26,47
J260,27339
J261,25009
J262,28324
J263,27949
J264,30277
J265,30487
J266,33512
J267,12696
J27,39
J274,24
J275,70
J276,77
J277,58
J278,66
J279,73
J28,858
J280,62
J282,49
J283,49
J284,49
J285,10005
J286,8032
J287,8838
J288,7109
J289,19504
J29,4250
J290,16434
J291,34624
J295,26122
J296,25947
J3,9082
J30,55
J301,20937
J302,28592
J304,18777
J305,18767
J306,18742
J308,22189
J309,22254
J31,55
J311,19594
J312,19809
J313,19179
J314,19829
J315,19574
J319,24312
J32,24
J320,23182
J321,34674
J322,33
J323,10
J33,357
J34,918
J35,7995
J36,635
J37,3475
J38,34375
J39,2850
J4,4293
J40,3590
J41,4150
J42,8360
J43,40
J44,4105
J45,9175
J46,7585
J47,445
J48,12818
J49,1465
J5,17381
J50,15
J51,10194
J52,10478
J53,9077
J54,20477
J55,22377
J56,5339
J57,27283
J58,6629
J59,19524
J6,24674
J60,23697
J61,95
J62,10175
J63,2105
J64,1745
J65,4335
J66,3545
J67,3545
J68,5
J69,14454
J7,19716
J70,7898
J71,1658
J72,5635
J73,19887
J74,9496
J75,6006
J76,51
J77,18307
J78,18112
J79,16322
J8,15681
J80,14618
J81,14698
J82,14780
J83,14418
J84,23121
J85,3370
J86,8223
J87,20807
J88,220
J89,2970
J9,35354
J90,9494
J91,7984
J92,19038
J94,21382
J97,12551
J98,16751
J99,23496
SantaAnaDelhi_DIV,58
SJM_In,314
SJM_Out,170
UCI_Marsh,78
Valencia_DIV,15124
105,19
11,90
13,90
152,29
216,29
219,55
294,55
482,51
BigCanyon,51
J17,19190
J18,15396
J20,17786
J93,8497
Newport_Dunes,47
OF1,18
OF10,71
OF11,71
OF12,71
OF13,71
OF14,40
OF15,9432
OF2,51
OF3,48
OF4,29
OF5,32
OF6,47
OF7,55
OF8,47
OF9,47
SantaAna_Delhi_Diversion,62
SJM,380
1,37
2,25
Agua_Chinon,3100
Bee_Canyon,11835
BigCanyonRes,23
BonitaCanyonRes,33
Cypress_Meadow_A,26172
Cypress_Meadow_B,20082
Cypress_Meadow_C,16417
Cypress_Meadow_D,14003
Dist8_74,27393
EastHicksCanyon,6448
Eastwood_Meadow,35224
El_Modena,10
Forge_Meadow,23727
Hicks_Canyon,0
J142,10
Laguna_Altura_N,8979
Laguna_Altura_S,8324
Los_Olivos_NTS,7199
Lower_Eastfoot,20942
LowPetersCanyon,5195
Marshburn,22652
Mason_Park,86
Middle_Eastfoot,14242
Old_Laguna,12411
Orchard_Estates,6847
Orchard_Meadow,16096
PetersCanyon,80
Port_Culver_NTS,24014
Portola_Springs,27753
Quail_Meadow,10752
Quail_Springs,8952
Rattlesnake_Res,7550
Round_Canyon,5215
Sand_Canyon,6043
SanJoaquinRes,16
SyphonCanyonRes,23344
Trabuco,34410
Turtle_Ridge,38
VeehRes,1602
Woodbridge,14026
